entity_id,display_name,normalized_name,entity_type
b9b339f32ab9,LOCKHEED MARTIN SELLER,LOCKHEED MARTIN SELLER,
c18114e9062d,PERATON VERITAS,PERATON VERITAS,
f25a43cf4ad0,VERITAS CAPITAL + EVERGREEN COAST CAPITAL,VERITAS CAPITAL + EVERGREEN COAST CAPITAL,
1a1d9630ae0c,HII HUNTINGTON INGALLS INDUSTRIES,HII HUNTINGTON INGALLS INDUSTRIES,
aef7fcb67900,TSA DHS,TSA DHS,
24411b3dfb91,BAIN CAPITAL,BAIN CAPITAL,
ac2d2cfa3579,LOCKHEED MARTIN EIG,LOCKHEED MARTIN EIG,
732ee34c2db7,NORTHROP GRUMMAN FEDERAL IT MSS,NORTHROP GRUMMAN FEDERAL IT MSS,
440a37e399a6,TSA,TSA,
848faf0687f9,ROBERT CARDILLO,ROBERT CARDILLO,
a0569f07c805,ACQUIRES DYNCORP GOV T SERVICES FROM CSC,ACQUIRES DYNCORP GOV T SERVICES FROM CSC,
43b3a5377c4c,VERITAS CAPITAL BUYER,VERITAS CAPITAL BUYER,
3e7b3a80f416,TO ACQUIRE QINETIQ NORTH AMERICA SERVICES & SOLUTIONS GROUP,TO ACQUIRE QINETIQ NORTH AMERICA SERVICES & SOLUTIONS GROUP,
f83122f774c7,ACQUIRES NORTHROP GRUMMAN FEDERAL IT & MISSION SUPPORT SERVICES,ACQUIRES NORTHROP GRUMMAN FEDERAL IT & MISSION SUPPORT SERVICES,
5d408970ce22,ACQUIRES PERSPECTA,ACQUIRES PERSPECTA,
af56bea61715,COMPLETES ACQUISITION OF PERSPECTA,COMPLETES ACQUISITION OF PERSPECTA,
96e873b8960e,ACQUIRE CUBIC CORPORATION,ACQUIRE CUBIC CORPORATION,
18b308ae3315,PERATON VIA PERSPECTA ENTERPRISE SOLUTIONS,PERATON VIA PERSPECTA ENTERPRISE SOLUTIONS,
a32937ba513c,ACQUIRES ALION SCIENCE & TECHNOLOGY FROM VERITAS,ACQUIRES ALION SCIENCE & TECHNOLOGY FROM VERITAS,
2c8a41fff368,TO ACQUIRE GUIDEHOUSE FROM VERITAS CAPITAL,TO ACQUIRE GUIDEHOUSE FROM VERITAS CAPITAL,
e01db41cdb68,QINETIQ NORTH AMERICA SSG,QINETIQ NORTH AMERICA SSG,
