name,uei,duns,cage,url,city,state,country,type,notes,source_pack,tag
Sandia National Laboratories,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Los Alamos National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Lawrence Livermore National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Oak Ridge National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Idaho National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Argonne National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Pacific Northwest National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Brookhaven National Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
National Renewable Energy Laboratory,,,,,,,,DOE/NNSA FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
MITRE Corporation,,,,,,,,DoD/IC FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
The Aerospace Corporation,,,,,,,,DoD/IC FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Institute for Defense Analyses (IDA),,,,,,,,DoD/IC FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Center for Naval Analyses (CNA),,,,,,,,DoD/IC FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
RAND Corporation,,,,,,,,DoD/IC FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Jet Propulsion Laboratory (JPL),,,,,,,,NASA/FFRDC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Johns Hopkins Applied Physics Laboratory (APL),,,,,,,,UARC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",,,,,,,,UARC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Penn State Applied Research Laboratory (ARL),,,,,,,,UARC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
Georgia Tech Research Institute (GTRI),,,,,,,,UARC,,ffrdc_uarc_search_kits_full.csv,ffrdc_uarc
