entity,modality,program,award_type,date,source,priority,collected_utc,entity_type
BlackSky Technology Inc.,EO (Electro-Optical),EOCL,Operational imagery contract,2022-05-25,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3135765/nro-announces-largest-award-of-commercial-imagery-contracts/,1,2026-01-10T18:47:51Z,Corporation
Maxar Technologies,EO (Electro-Optical),EOCL,Operational imagery contract,2022-05-25,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3135765/nro-announces-largest-award-of-commercial-imagery-contracts/,1,2026-01-10T18:47:51Z,Corporation
Planet Labs PBC,EO (Electro-Optical),EOCL,Operational imagery contract,2022-05-25,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3135765/nro-announces-largest-award-of-commercial-imagery-contracts/,1,2026-01-10T18:47:51Z,Corporation
"Airbus U.S. Space & Defense, Inc.",SAR (Radar),SCE – Commercial Radar,Study contract (SCE BAA),2022-01-20,https://www.nro.gov/Portals/65/documents/news/press/2022/BAA_Award_Press_Release_CSPO_20220119.pdf,2,2026-01-10T18:47:51Z,Corporation
Capella Space,SAR (Radar),SCE – Commercial Radar,Study contract (SCE BAA),2022-01-20,https://www.nro.gov/Portals/65/documents/news/press/2022/BAA_Award_Press_Release_CSPO_20220119.pdf,2,2026-01-10T18:47:51Z,Corporation
"ICEYE US, Inc.",SAR (Radar),SCE – Commercial Radar,Study contract (SCE BAA),2022-01-20,https://www.nro.gov/Portals/65/documents/news/press/2022/BAA_Award_Press_Release_CSPO_20220119.pdf,2,2026-01-10T18:47:51Z,Corporation
PredaSAR (Terran Orbital),SAR (Radar),SCE – Commercial Radar,Study contract (SCE BAA),2022-01-20,https://www.nro.gov/Portals/65/documents/news/press/2022/BAA_Award_Press_Release_CSPO_20220119.pdf,2,2026-01-10T18:47:51Z,Corporation
"Umbra Lab, Inc.",SAR (Radar),SCE – Commercial Radar,Study contract (SCE BAA),2022-01-20,https://www.nro.gov/Portals/65/documents/news/press/2022/BAA_Award_Press_Release_CSPO_20220119.pdf,2,2026-01-10T18:47:51Z,Corporation
Aurora Insight,RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
HawkEye 360 Inc.,RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
Kleos Space Inc.,RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
PredaSAR (Terran Orbital),RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
"Spire Global, Inc.",RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
"Umbra Lab, Inc.",RF (Radio Frequency),SCE – Commercial RF,Study contract (SCE BAA),2022-09-28,https://www.nro.gov/news-media-featured-stories/news-media-archive/News-Article/3173098/nro-announces-commercial-radio-frequency-study-contract-awards/,3,2026-01-10T18:47:51Z,Corporation
BlackSky Technology Inc.,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
HyperSat,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
Orbital Sidekick,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
Pixxel,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
Planet Labs PBC,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
Xplore Inc.,HSI (Hyperspectral),SCE – Hyperspectral,Study contract (SCE BAA),2023-03-22,https://www.nro.gov/Portals/65/documents/news/press/2023/HSI_Study_Contracts_Press_Release_FINAL.pdf,3,2026-01-10T18:47:51Z,Corporation
Hydrosat,Thermal IR (TIR),SCE – Thermal/EO-IR,Stage II extension (company PR),2025-07-21,https://hydrosat.com/2025/07/21/hydrosat-awarded-stage-ii-contract-by-nro/,4,2026-01-10T18:47:51Z,Corporation
"Airbus U.S. Space & Defense, Inc.",EO (Electro-Optical),SCE – EO Studies,Study agreement (SCE),2023-12-05,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/,2,2026-01-10T18:47:51Z,Corporation
Albedo Space,EO (Electro-Optical),SCE – EO Studies,Study agreement (SCE),2023-12-05,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/,2,2026-01-10T18:47:51Z,Corporation
Hydrosat,EO (Electro-Optical),SCE – EO Studies,Study agreement (SCE),2023-12-05,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/,2,2026-01-10T18:47:51Z,Corporation
Muon Space,EO (Electro-Optical),SCE – EO Studies,Study agreement (SCE),2023-12-05,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/,2,2026-01-10T18:47:51Z,Corporation
Turion Space,EO (Electro-Optical),SCE – EO Studies,Study agreement (SCE),2023-12-05,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/,2,2026-01-10T18:47:51Z,Corporation
"Umbra Lab, Inc.",RF (Radio Frequency),SCE – Commercial RF,Stage II option (company PR),2024-02-28,https://www.prnewswire.com/news-releases/nro-selects-umbra-for-second-phase-of-commercial-rf-study-302074373.html,3,2026-01-10T18:47:51Z,Corporation
Capella Space,SAR (Radar),SCE – Commercial Radar,Stage III extension (press),2024-12-05,https://breakingdefense.com/2024/12/and-then-there-were-3-nro-extends-contracts-for-radar-imagery-to-capella-iceye-umbra/,3,2026-01-10T18:47:51Z,Corporation
"ICEYE US, Inc.",SAR (Radar),SCE – Commercial Radar,Stage III extension (press),2024-12-05,https://breakingdefense.com/2024/12/and-then-there-were-3-nro-extends-contracts-for-radar-imagery-to-capella-iceye-umbra/,3,2026-01-10T18:47:51Z,Corporation
"Umbra Lab, Inc.",SAR (Radar),SCE – Commercial Radar,Stage III extension (press),2024-12-05,https://breakingdefense.com/2024/12/and-then-there-were-3-nro-extends-contracts-for-radar-imagery-to-capella-iceye-umbra/,3,2026-01-10T18:47:51Z,Corporation
(Program) NRO CSPO Commercial Foundation,Multi-phenomenology,Commercial Foundation RFI,RFI (market research),2025-07-24,https://sam.gov/opp/ffcc5b2d036646c18d925df2dac64f0b/view,5,2026-01-10T18:47:51Z,Program
