recipient,uei,duns,cage,award_or_idv_url,agency,idv_or_award,notes
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_47QFCA24F0002_4732_47QTCK18D0011_4732,GSA,AWARD,Large task order under Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_FA853024FB002_9700_47QTCK18D0011_4732,USAF,AWARD,USAF order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_FA873021F8503_9700_47QTCK18D0011_4732,USAF,AWARD,USAF order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_2032H519F00282_2050_47QTCK18D0011_4732,Treasury/IRS,AWARD,IRS order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_2032H523F00692_2050_47QTCK18D0011_4732,Treasury/IRS,AWARD,IRS order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_47QFWA22F0018_4732_47QTCK18D0011_4732,GSA,AWARD,GSA order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_47QFWA22F0023_4732_47QTCK18D0011_4732,GSA,AWARD,GSA order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_W900KK25F0043_9700_47QTCK18D0011_4732,Army PEO STRI,AWARD,Army order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_19AQMM21F1199_1900_GS35F694GA_4732,State (DoS),AWARD,DoS call under GSA IT-70/SS schedule
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_2032H521F00535_2050_47QTCK18D0011_4732,Treasury/IRS,AWARD,IRS order via Alliant 2
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_FA820725F1013_9700_FA820721D1001_9700,USAF,AWARD,USAF task order under FA8207 IDIQ
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_N6339424F3003_9700_N0017819D8284_9700,Navy/NSWC,AWARD,Task order under Dahlgren IDIQ (N0017819D8284)
