source,target,sum_current_usd,sum_potential_usd,award_count
Army PEO STRI,PERATON INC.,0.0,0.0,1
Army/DEVCOM C5ISR,PERATON LABS INC.,0.0,0.0,1
DHS/FEMA,PERATON RISK DECISION INC.,0.0,0.0,1
DOL,PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
Department of Defense (DoD),PERATON ENTERPRISE SOLUTIONS LLC,30000000.0,30000000.0,3
Department of Defense (DoD),PERATON INC.,76437636.51,248700000.0,7
Department of Homeland Security (DHS),PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
Department of Homeland Security (DHS),PERATON TECHNOLOGY SERVICES INC.,660041.93,0.0,1
Department of Justice (DOJ),PERATON INC.,0.0,0.0,1
Department of State (DOS),PERATON INC.,0.0,0.0,1
Department of Veterans Affairs (VA),PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
Department of the Treasury (TREAS),PERATON INC.,15900000.0,16300000.0,1
DoD/DARPA,PERATON LABS INC.,0.0,0.0,1
Environmental Protection Agency (EPA),PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
GSA,PERATON INC.,0.0,0.0,2
GSA (PSC/Schedule IDV),PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
General Services Administration (GSA),PERATON ENTERPRISE SOLUTIONS LLC,0.0,0.0,1
General Services Administration (GSA),PERATON INC.,854100000.0,2800000000.0,2
General Services Administration (GSA),PERATON TECHNOLOGY SERVICES INC.,33800000.0,55400000.0,1
HHS / Centers for Disease Control and Prevention (CDC),PERATON INC.,0.0,0.0,1
HHS / Centers for Medicare & Medicaid Services (CMS),PERATON INC.,0.0,0.0,1
Navy/NAWCAD,PERATON INC.,0.0,0.0,1
Social Security Administration (SSA),PERATON INC.,430332.0,0.0,1
State (DoS),PERATON INC.,0.0,0.0,1
Treasury/IRS,PERATON INC.,0.0,0.0,3
USAF,PERATON INC.,30294518.0,23700000.0,3
