agency,total_current_usd,awards
General Services Administration (GSA),887900000.0,4
Department of Defense (DoD),106437636.51,9
Department of the Treasury (TREAS),15900000.0,1
Department of Homeland Security (DHS),660041.93,2
Social Security Administration (SSA),430332.0,1
Army PEO STRI,0.0,1
GSA (PSC/Schedule IDV),0.0,1
Treasury/IRS,0.0,3
State (DoS),0.0,1
Navy/NAWCAD,0.0,1
HHS / Centers for Medicare & Medicaid Services (CMS),0.0,1
HHS / Centers for Disease Control and Prevention (CDC),0.0,1
Environmental Protection Agency (EPA),0.0,1
GSA,0.0,2
Army/DEVCOM C5ISR,0.0,1
DoD/DARPA,0.0,1
Department of Veterans Affairs (VA),0.0,1
Department of State (DOS),0.0,1
Department of Justice (DOJ),0.0,1
DOL,0.0,1
DHS/FEMA,0.0,1
USAF,0.0,3
