agency,recipient,fiscal_year,total_current_usd,count
Army PEO STRI,PERATON INC.,Unknown,0.0,1
Army/DEVCOM C5ISR,PERATON LABS INC.,Unknown,0.0,1
DHS/FEMA,PERATON RISK DECISION INC.,Unknown,0.0,1
DOL,PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
Department of Defense (DoD),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,30000000.0,3
Department of Defense (DoD),PERATON INC.,Unknown,76437636.51,7
Department of Homeland Security (DHS),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
Department of Homeland Security (DHS),PERATON TECHNOLOGY SERVICES INC.,Unknown,660041.93,1
Department of Justice (DOJ),PERATON INC.,Unknown,0.0,1
Department of State (DOS),PERATON INC.,Unknown,0.0,1
Department of Veterans Affairs (VA),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
Department of the Treasury (TREAS),PERATON INC.,Unknown,15900000.0,1
DoD/DARPA,PERATON LABS INC.,Unknown,0.0,1
Environmental Protection Agency (EPA),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
GSA,PERATON INC.,Unknown,0.0,2
GSA (PSC/Schedule IDV),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
General Services Administration (GSA),PERATON ENTERPRISE SOLUTIONS LLC,Unknown,0.0,1
General Services Administration (GSA),PERATON INC.,Unknown,854100000.0,2
General Services Administration (GSA),PERATON TECHNOLOGY SERVICES INC.,Unknown,33800000.0,1
HHS / Centers for Disease Control and Prevention (CDC),PERATON INC.,Unknown,0.0,1
HHS / Centers for Medicare & Medicaid Services (CMS),PERATON INC.,Unknown,0.0,1
Navy/NAWCAD,PERATON INC.,Unknown,0.0,1
Social Security Administration (SSA),PERATON INC.,Unknown,430332.0,1
State (DoS),PERATON INC.,Unknown,0.0,1
Treasury/IRS,PERATON INC.,Unknown,0.0,3
USAF,PERATON INC.,Unknown,30294518.0,3
