date,type,parties,amount_usd,summary,source,category,confidence,uap_relevance,source_type
2004-12-13,M&A,Veritas Capital ➜ acquires DynCorp Gov't Services from CSC,850000000.0,CSC sells DynCorp government services to Veritas (Los Angeles Business Journal).,https://labusinessjournal.com/news/computer-sciences-corp-sells-dyncorp-to-veritas/,,,,
2007-10-31,M&A,CACI ➜ acquires Athena Innovative Solutions (formerly MZM assets),,SEC-filed press release announcing acquisition of Athena Innovative Solutions.,https://www.sec.gov/Archives/edgar/data/16058/000001605807000064/ex99.htm,,,,
2010-11-29,M&A / Divestiture,Lockheed Martin (seller) ➜ Veritas Capital (buyer),815000000.0,Lockheed sells Enterprise Integration Group (EIG) to Veritas; unit becomes The SI Organization.,https://www.washingtontechnology.com/2010/11/lockheed-finalizes-815m-sale-of-eig-division/342969/,,,,
2014-04-22,Acquisition agreement,The SI Organization ➜ to acquire QinetiQ North America (Services & Solutions Group),165000000.0,SI signs definitive agreement to acquire QNA/SSG (deal later completed; earn-out up to $50M).,https://www.washingtontechnology.com/2014/04/si-makes-blockbuster-deal-for-most-of-qinetiq-north-america/355814/,,,,
2014-05-27,Acquisition closed,The SI Organization ➜ completes QinetiQ North America SSG purchase,,Deal completion announced; adds major services footprint.,https://www.prnewswire.com/news-releases/the-si-organization-completes-acquisition-of-qinetiq-north-america-services-and-solutions-group-260750711.html,,,,
2014-07-23,Corporate rename,The SI Organization ➜ Vencore,,SI rebrands as Vencore following acquisitions.,https://washingtonexec.com/2014/07/si-organization-swaps-name-vencore/,,,,
2019-05-01,Advisory / revolving door,Peraton ➜ adds Robert Cardillo (former NGA Director) to advisory board,,Peraton press release confirming Cardillo appointment.,https://www.peraton.com/news/peraton-names-former-director-of-national-geospatial-intelligence-agency-robert-cardillo-to-its-advisory-board,,,,
2019-08-12,Govt. contract (IDIQ),NGA ➜ Perspecta,824000000.0,NGA Enterprise Engineering (NEE) SE&I IDIQ; ceiling $824M; first task order awarded.,https://www.prnewswire.com/news-releases/perspecta-awarded-nga-enterprise-engineering-nee-contract-and-first-major-task-order-for-the-national-geospatial-intelligence-agency-300900212.html,,,,
2019-08-13,Govt. contract (task order),NGA ➜ Perspecta,223000000.0,First NEE task order value reported by WashingtonExec.,https://washingtonexec.com/2019/08/perspecta-snags-first-nga-enterprise-engineering-contract-task-order/,,,,
2021-02-01,Carve-out / M&A,Peraton ➜ acquires Northrop Grumman Federal IT & Mission Support Services,3400000000.0,Peraton closes $3.4B purchase from Northrop Grumman.,https://virginiabusiness.com/perspecta-to-be-acquired-for-7-1b-in-all-cash-deal/,,,,
2021-05-06,M&A,Peraton (Veritas) ➜ acquires Perspecta,7100000000.0,Peraton completes Perspecta acquisition; integration announced same day.,https://virginiabusiness.com/perspecta-shareholders-approve-7-1b-acquisition-by-peraton/,,,,
2021-06-15,Govt. contract (OTA),DCSA ➜ Peraton (via Perspecta Enterprise Solutions),474000000.0,NBIS enterprise IT application development OTA; base + options up to $500M ceiling.,https://www.prnewswire.com/news-releases/peraton-to-fulfill-474-million-dod-contract-for-advanced-background-investigation-services-301312678.html,,,,
2021-09-30,Divestiture / Spin-out,"Peraton ➜ sells Systems Engineering, Integration & Support Services to CTFV (Veritas Vantage Fund)",,Peraton completes sale of SES business; later renamed Arcfield under Veritas Vantage fund.,https://www.peraton.com/news/peraton-divests-systems-engineering-integration-and-support-services-business/,,,,
2021-12-14,Corporate rename,CTFV Acquisition Corp. ➜ Arcfield,,Spin-out business rebrands as Arcfield; Kevin Kelly named CEO.,https://www.arcfield.com/news/arcfield-appoints-kevin-kelly-as-chairman-and-ceo%2C-announces-new-company-name,,,,
2022-12-21,Govt. contract,TSA (DHS) ➜ Peraton,342700000.0,IMPACT II IT mission support contract award (five years).,https://www.prnewswire.com/news-releases/peraton-awarded-342-7-million-contract-to-provide-tsa-with-comprehensive-mission-it-support-services-301706504.html,,,,
2023-01-03,Govt. contract,DCSA ➜ Peraton,2250000000.0,Background investigation field work services contract (up to $2.25B/5 yrs).,https://www.prnewswire.com/news-releases/peraton-awarded-2-25-billion-contract-to-provide-background-investigation-field-work-services-to-the-defense-counterintelligence-and-security-agency-301712480.html,,,,
2024-02-05,Declassified info,AARO/DHS ➜ KONA BLUE history,,AARO: KONA BLUE proposed as DHS PSAP; never approved; no materials or funding transferred.,https://www.aaro.mil/Portals/136/PDFs/UAP_RECORDS_RESEARCH/History_and_Origin_of_KONA_BLUE_FINAL_508.pdf,,,,
2024-03-08,Govt. report,"DoD ➜ AARO Historical Record Report, Vol. 1",,AARO reports no empirical evidence of crash retrievals; discusses KONA BLUE as unapproved DHS PSAP.,https://media.defense.gov/2024/Mar/08/2003409233/-1/-1/0/DOPSR-CLEARED-508-COMPLIANT-HRRV1-08-MAR-2024-FINAL.PDF,,,,
2012-03-06,Acquisition,The SI Organization ➜ acquires PhaseOne Communications,,Adds strategy/communications capabilities used in federal programs.,https://washingtonexec.com/2012/03/the-si-organization-acquires-phaseone-communications/,M&A,High,Context,Trade press
2013-05-15,Acquisition,The SI Organization ➜ acquires Applied Communication Sciences (ACS),,"ACS (ex–Bell Labs unit) brought cybersecurity, data analytics, quantum-related R&D.",https://www.prnewswire.com/news-releases/applied-communication-sciences-acquired-by-the-si-organization-inc-207519011.html,M&A,High,Context,Press release
2018-08-02,Acquisition,Veritas Capital ➜ acquires PwC Public Sector (forms Guidehouse),,Consulting platform servicing DoD/IC/Civilian agencies; later sold to Bain Capital.,https://www.guidehouse.com/insights/finance/2018/veritas-capital-completes-acquisition-of-pwc-public-sector,M&A,High,Context,Company site
2023-11-20,Sale/Exit,Bain Capital ➜ to acquire Guidehouse from Veritas Capital,5300000000.0,Definitive agreement announced at ~$5.3B enterprise value.,https://www.baincapital.com/news/bain-capital-to-acquire-guidehouse-from-veritas-capital/,Restructuring/Exit,High,Context,Press release
2021-05-25,Take-private,Veritas Capital + Evergreen Coast Capital ➜ acquire Cubic Corporation,2800000000.0,Cubic taken private; defense C4ISR/training & transportation tech businesses.,https://www.businesswire.com/news/home/20210525005555/en/Cubic-Announces-Completion-of-Transaction-with-Veritas-Capital-and-Evergreen-Coast-Capital,M&A,High,Context,Press release
2021-08-19,Sale/Exit,HII (Huntington Ingalls Industries) ➜ acquires Alion Science & Technology from Veritas,1650000000.0,"STEM, EW, modeling/simulation integrator sold to HII; enhances HII Mission Technologies.",https://newsroom.hii.com/releases/hii-completes-acquisition-of-alion/,Restructuring/Exit,High,Context,Press release
2021-05-06,M&A (Close),Peraton ➜ completes acquisition of Perspecta,7100000000.0,"Deal completion confirmation, corroborating Virginia Business coverage.",https://www.peraton.com/news/peraton-completes-acquisition-of-perspecta/,M&A,High,Indirect,Company press
