notice_id,title,posted_date,agency,naics,set_aside,classification_code,url,source_file,kw_hits,kw_top3,credibility_score
,Metasurface-coupled superlattices for LWIR imaging,,DOD (MDA),,,,https://www.sbir.gov/awards/195239,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Novel Innovative UHTC and Fabrication for Solid Propulsion Pintles,,DOD (MDA),,,,https://www.sbir.gov/awards/198291,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,High entropy alloy bond coatings for TBCs,,DOD,,,,https://www.sbir.gov/awards/150374,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Low-Risk Approach to High-Payoff Ultra-High Temperature CMCs,,NASA,,,,https://www.sbir.gov/awards/181904,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Wide Bandgap Semiconductor Materials and Devices,,DOD (USAF),,,,https://www.sbir.gov/awards/110288,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,SQUID-based comparator for 10 GS/s ADC,,NASA (likely),,,,https://www.sbir.gov/awards/55000,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Development of SQUID amplifier for TES readout electronics,,DOE,,,,https://www.sbir.gov/awards/213126,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Metamaterial NMBS (with JHU/APL),,DOD (USAF),,,,https://www.sbir.gov/awards/179523,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,Dynamically Tunable Metamaterials (with UT Austin),,DOD (Army),,,,https://www.sbir.gov/awards/130545,raw/sbir_reverse_engineering_seeds.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,,,USAF/USSF/NRO/NGA/DIA (+ DOE/NNSA if applicable),,,,,raw/UAP_RE_Contractor_Pack_2025-11-06/foia_queue_prefilled_top10.csv,0,,0.1
,Metasurface-coupled superlattices for LWIR imaging,,DOD (MDA),,,,https://www.sbir.gov/awards/195239,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Novel Innovative UHTC and Fabrication for Solid Propulsion Pintles,,DOD (MDA),,,,https://www.sbir.gov/awards/198291,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,High entropy alloy bond coatings for TBCs,,DOD,,,,https://www.sbir.gov/awards/150374,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Low-Risk Approach to High-Payoff Ultra-High Temperature CMCs,,NASA,,,,https://www.sbir.gov/awards/181904,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Wide Bandgap Semiconductor Materials and Devices,,DOD (USAF),,,,https://www.sbir.gov/awards/110288,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,SQUID-based comparator for 10 GS/s ADC,,NASA (likely),,,,https://www.sbir.gov/awards/55000,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Development of SQUID amplifier for TES readout electronics,,DOE,,,,https://www.sbir.gov/awards/213126,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Metamaterial NMBS (with JHU/APL),,DOD (USAF),,,,https://www.sbir.gov/awards/179523,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
,Dynamically Tunable Metamaterials (with UT Austin),,DOD (Army),,,,https://www.sbir.gov/awards/130545,raw/UAP_RE_Contractor_Pack_2025-11-06/sbir_reverse_engineering_seeds.csv,0,,0.1
