agency,fiscal_year,mission_bucket,total_current_usd,total_obligated_usd,awards
Army PEO STRI,Unknown,,0.0,0.0,1
Army/DEVCOM C5ISR,Unknown,,0.0,0.0,1
DHS/FEMA,Unknown,,0.0,0.0,1
DOL,Unknown,,0.0,0.0,1
Department of Defense (DoD),FY2024,R&D,17946558.0,0.0,1
Department of Defense (DoD),Unknown,,106437636.51,0.0,10
Department of Defense (DoD),Unknown,C4ISR/Engineering,35791464.0,2000000.0,4
Department of Defense (DoD),Unknown,C4ISR/Hardware,11622184.0,0.0,1
Department of Defense (DoD),Unknown,IT,95792488.77,74465949.76,3
Department of Defense (DoD),Unknown,R&D,0.0,498872.0,3
Department of Homeland Security (DHS),Unknown,,660041.93,0.0,2
Department of Justice (DOJ),Unknown,,0.0,0.0,1
Department of State (DOS),Unknown,,0.0,0.0,1
Department of Veterans Affairs (VA),Unknown,,0.0,0.0,1
Department of the Treasury (TREAS),Unknown,,15900000.0,0.0,1
DoD/DARPA,Unknown,,0.0,0.0,1
Environmental Protection Agency (EPA),Unknown,,0.0,0.0,1
GSA,Unknown,,0.0,0.0,2
GSA (PSC/Schedule IDV),Unknown,,0.0,0.0,1
General Services Administration (GSA),Unknown,,33800000.0,0.0,3
General Services Administration (GSA),Unknown,IT,854100000.0,0.0,1
HHS / Centers for Disease Control and Prevention (CDC),Unknown,,0.0,0.0,1
HHS / Centers for Medicare & Medicaid Services (CMS),Unknown,,0.0,0.0,1
Navy/NAWCAD,Unknown,,0.0,0.0,1
Social Security Administration (SSA),Unknown,,430332.0,0.0,1
State (DoS),Unknown,,0.0,0.0,1
Treasury/IRS,Unknown,,0.0,0.0,3
USAF,Unknown,,6594518.0,6594518.0,2
