event_id,source_type,source_title,source_url,source_date,notes
EVT-1933-001,journalism,"Roberto Pinotti - Italian UFO Files",https://www.openminds.tv/italian-ufo-files,2000-01-01,Italian researcher published RS/33 cabinet documents
EVT-1933-001,government_record,"Italian RS/33 Cabinet Documents",,1933-06-13,Declassified Italian government documents regarding the Magenta recovery
EVT-1942-001,government_record,"Secretary of War Stimson Statement",,1942-02-26,Official Army response acknowledging the incident
EVT-1947-001,journalism,"East Oregonian - Kenneth Arnold Interview",https://www.eastoregonan.com,1947-06-25,Original news report of the sighting
EVT-1947-002,government_record,"RAAF Press Release - Roswell",https://www.archives.gov,1947-07-08,Original Army Air Field press release
EVT-1947-002,government_record,"GAO Report on Roswell",https://www.gao.gov/products/gao/nsiad-95-187,1995-07-28,General Accounting Office investigation into Roswell records
EVT-1947-003,government_record,"Public Law 80-253 - National Security Act",https://www.govinfo.gov/content/pkg/STATUTE-61/pdf/STATUTE-61-Pg495.pdf,1947-09-18,Full text of the National Security Act of 1947
EVT-1948-001,government_record,"USAF Accident Report - Mantell Incident",,1948-01-07,Official accident investigation report
EVT-1952-001,government_record,"CAA Radar Reports - Washington National",https://www.archives.gov,1952-07-19,Civil Aeronautics Administration radar documentation
EVT-1953-001,government_record,"CIA Robertson Panel Report",https://www.cia.gov/readingroom,1953-01-17,Declassified Robertson Panel proceedings
EVT-1966-001,government_record,"House Armed Services Committee Hearing Transcript",,1966-04-05,Congressional Record
EVT-1969-001,government_record,"Project Blue Book Final Report",https://www.archives.gov/research/military/air-force/ufos,1969-12-17,Official termination report and findings
EVT-1980-001,government_record,"Lt. Col. Halt Memo to UK MoD",https://www.theblackvault.com/documentarchive/rendlesham-forest,1981-01-13,Official memorandum describing the encounters
EVT-1986-001,government_record,"FAA Division Chief John Callahan Account",https://www.archives.gov,1986-11-17,FAA investigation records released via FOIA
EVT-1989-001,government_record,"Belgian Air Force Official Report",,1990-07-11,Belgian Air Force public report on the UFO wave
EVT-1997-001,journalism,"USA Today - Thousands See Lights Over Phoenix",https://usatoday.com,1997-03-14,Major media coverage of the event
EVT-2004-001,government_record,"USS Nimitz FLIR Video",https://www.navair.navy.mil,2004-11-14,Officially released by DOD in 2020
EVT-2004-001,journalism,"New York Times - Navy Encounter Coverage",https://www.nytimes.com/2017/12/16/us/politics/pentagon-program-ufo-harry-reid.html,2017-12-16,First public reporting of the encounter
EVT-2007-001,government_record,"DIA AAWSAP Contract Records",https://www.dia.mil,2007-01-01,Contract records obtained through FOIA
EVT-2017-001,journalism,"NYT - Glowing Auras and Black Money",https://www.nytimes.com/2017/12/16/us/politics/pentagon-program-ufo-harry-reid.html,2017-12-16,Original NYT investigation
EVT-2019-001,government_record,"Navy Official Statement on UAP Videos",https://www.navy.mil,2019-09-18,Official Navy confirmation of video authenticity
EVT-2020-001,government_record,"DOD UAPTF Establishment Press Release",https://www.defense.gov/News/Releases/Release/Article/2314065,2020-08-14,Official DOD announcement
EVT-2021-001,government_record,"ODNI Preliminary Assessment: UAP",https://www.dni.gov/files/ODNI/documents/assessments/Prelimary-Assessment-UAP-20210625.pdf,2021-06-25,Official unclassified report
EVT-2022-001,government_record,"House Intelligence Subcommittee Hearing",https://www.congress.gov,2022-05-17,Congressional hearing transcript and video
EVT-2022-002,government_record,"NDAA FY2023 - Public Law 117-263",https://www.congress.gov/bill/117th-congress/house-bill/7776,2022-12-23,Full text of legislation establishing AARO
EVT-2023-001,journalism,"The Debrief - David Grusch Interview",https://thedebrief.org/intelligence-officials-say-u-s-has-retrieved-non-human-craft/,2023-06-05,Original reporting of Grusch allegations
EVT-2023-001,government_record,"ICIG Complaint - Urgent and Credible",https://www.dni.gov,2023-06-05,IC Inspector General found complaint credible and urgent
EVT-2023-002,government_record,"House Oversight Committee Hearing Transcript",https://oversight.house.gov/hearing/unidentified-anomalous-phenomena-implications-on-national-security-public-safety-and-government-transparency/,2023-07-26,Full hearing record with sworn testimony
EVT-2023-003,government_record,"S.2226 - UAP Disclosure Act of 2023",https://www.congress.gov/bill/118th-congress/senate-bill/2226,2023-07-13,Full text of proposed legislation
EVT-2024-001,government_record,"AARO Historical Record Report Volume 1",https://www.aaro.mil/Portals/136/PDFs/AARO_Historical_Record_Report_Volume_1_-_2024.pdf,2024-03-08,Official AARO report
EVT-2024-002,journalism,"Michael Shellenberger - Immaculate Constellation",https://public.substack.com/p/the-program,2024-11-13,Investigative reporting based on whistleblower sources
EVT-2025-001,government_record,"DHS Kona Blue FOIA Release",,2025-01-01,Documents released through FOIA requests
EVT-2025-002,legislation,"UAP Disclosure Act 2.0 Draft",https://www.congress.gov,2025-11-01,Proposed legislation text
